asset,window,mean_vol,max_vol,min_vol,vol_vs_pre_ratio
Brent_Crude,PRE_CONFLICT,39.33,41.8,36.53,1.0
Brent_Crude,CONFLICT,75.03,109.65,38.02,1.91
Brent_Crude,POST_MOU,42.71,43.84,41.58,1.09
WTI_Crude,PRE_CONFLICT,37.27,39.94,34.11,1.0
WTI_Crude,CONFLICT,78.89,111.52,37.48,2.12
WTI_Crude,POST_MOU,50.97,54.8,47.15,1.37
Natural_Gas,PRE_CONFLICT,284.08,307.84,123.15,1.0
Natural_Gas,CONFLICT,48.41,116.28,30.74,0.17
Natural_Gas,POST_MOU,49.34,49.88,48.81,0.17
USD_Index,PRE_CONFLICT,6.91,7.46,5.5,1.0
USD_Index,CONFLICT,5.64,8.03,3.51,0.82
USD_Index,POST_MOU,4.16,4.49,3.83,0.6
ExxonMobil,PRE_CONFLICT,28.01,32.08,23.13,1.0
ExxonMobil,CONFLICT,30.02,36.78,19.32,1.07
ExxonMobil,POST_MOU,28.75,29.74,27.77,1.03
Halliburton,PRE_CONFLICT,32.24,43.89,29.86,1.0
Halliburton,CONFLICT,32.25,37.34,25.94,1.0
Halliburton,POST_MOU,34.96,35.64,34.28,1.08
United_Airlines,PRE_CONFLICT,52.79,69.16,40.11,1.0
United_Airlines,CONFLICT,57.52,69.78,43.59,1.09
United_Airlines,POST_MOU,62.52,66.2,58.83,1.18
Lockheed_Martin,PRE_CONFLICT,31.4,39.65,29.15,1.0
Lockheed_Martin,CONFLICT,24.77,31.3,18.22,0.79
Lockheed_Martin,POST_MOU,26.82,28.83,24.82,0.85
